"fqdn","ip","asn","ip_prefix","owner","cc"
"augmentez-votre-plafond-cetelem.fr","91.108.101.229","47583","91.108.101.0/24","AS-HOSTINGER, CY","DE"
"dhl-globalmail.fr","","","","",""
"diplomategouv.fr","195.250.23.66","51713","195.250.23.0/24","WHG-LON, GB","GB"
"huissier-justiice.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"luckysheriff-casino.fr","95.111.249.30","51167","95.111.248.0/23","CONTABO, DE","DE"
"luckysheriff.fr","95.111.249.30","51167","95.111.248.0/23","CONTABO, DE","DE"
"luckysheriffcasino.fr","95.111.249.30","51167","95.111.248.0/23","CONTABO, DE","DE"
"magiusscasino.fr","104.21.47.114","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
"opposition-cartes.fr","163.5.32.126","399486","163.5.32.0/24","VIRTUO, CA","FR"
"policenationale-colmar.fr","217.160.0.166","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"pplsecurlog.fr","172.67.161.27","13335","172.67.160.0/20","CLOUDFLARENET, US","US"
"retrozino-casino.fr","95.111.249.30","51167","95.111.248.0/23","CONTABO, DE","DE"
"retrozino.fr","95.111.249.30","51167","95.111.248.0/23","CONTABO, DE","DE"
"retrozinocasino.fr","95.111.249.30","51167","95.111.248.0/23","CONTABO, DE","DE"
"roobetcasinosfr.fr","104.21.82.185","13335","104.21.80.0/20","CLOUDFLARENET, US","US"
"stussyoutletfrance.fr","196.196.228.7","48950","196.196.228.0/24","GLOBALCOLOCATION, GB","SC"
"uggofficiel.fr","23.227.38.69","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
