"fqdn","ip","asn","ip_prefix","owner","cc"
"aaliceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aideregularisation.fr","87.106.120.180","8560","87.106.120.0/22","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"ailceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"akiceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alcieadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alicaedsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alicceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alicdadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceaadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceacsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceaddl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceaddsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadql.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadsm.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadso.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadssl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadwl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadxl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceadzl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceaesl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceafsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceassl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceaxsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alicedasl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliceqdsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alicezdsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alicradsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliczadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliecadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alifeadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aliiceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alixeadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alkceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alliceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aloceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"aluceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"amende-antai-gvs.fr","","","","",""
"amendes-info.fr","","","","",""
"amiceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"antai-gestions.fr","193.203.170.106","47583","193.203.168.0/22","AS-HOSTINGER, CY","DE"
"antaiservices.fr","193.203.170.71","47583","193.203.168.0/22","AS-HOSTINGER, CY","DE"
"aoiceadsl.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"assistance-clients.fr","103.45.245.23","36007","103.45.245.0/24","KAMATERA, US","IL"
"awnadoo.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bbbox.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bbix.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bblx.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bboc.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bbod.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bboq.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bbow.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bboxx.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bbpx.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bbxo.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"bhox.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
