"fqdn","ip","asn","ip_prefix","owner","cc"
"ageiph.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"amende-paiements.fr","94.156.161.151","211252","94.156.161.0/24","AS_DELIS, US","BG"
"consultation-mon-amende.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"cybertek-bordeaux.fr","62.72.38.124","47583","62.72.36.0/22","AS-HOSTINGER, CY","DE"
"cybertekperpignan.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"dumontparis.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"filafranceshops.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"freboxos.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"frquipe.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"indemnisations-dommages-corporels.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"lbc-securepay.fr","","","","",""
"lemondr.fr","172.67.174.191","13335","172.67.160.0/20","CLOUDFLARENET, US","US"
"magasincybertek-bordeaux.fr","","","","",""
"mes-amendes-portail.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"nordaccount.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"oppo-labanquepostale.fr","172.86.98.251","53667","172.86.96.0/21","PONYNET, US","US"
"portail-mes-amendes.fr","","","","",""
"pret-orange.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"renouvellementcarteidentite.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"reservation-crous-lyon.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"resultats-depistage.fr","103.224.182.242","133618","103.224.182.0/23","TRELLIAN-AS-AP Trellian Pty. Limited, AU","AU"
"suivremoncolis-chronopost.fr","179.43.142.130","51852","179.43.128.0/18","PLI-AS, PA","PA"
"telephone-sfr.fr","185.230.63.107","58182","185.230.63.0/24","WIX_COM, IL","IL"
