"fqdn","ip","asn","ip_prefix","owner","cc"
"ac-orleanstours.fr","198.58.118.167","63949","198.58.96.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"altrabordeaux.fr","","","","",""
"altraparis.fr","","","","",""
"amende-infractions.fr","72.14.185.43","63949","72.14.176.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"antaicontravention.fr","198.58.118.167","63949","198.58.96.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"benchparis.fr","","","","",""
"bnp-paribas-service-clients.fr","","","","",""
"bugattiparisstore.fr","","","","",""
"client-espace.fr","89.117.169.233","47583","89.117.168.0/23","AS-HOSTINGER, CY","LT"
"colehaanparis.fr","","","","",""
"compta-ugap.fr","","","","",""
"contravention-antai.fr","","","","",""
"cybertekpau.fr","154.49.244.50","47583","154.49.244.0/23","AS-HOSTINGER, CY","US"
"dhl-express-service.fr","","","","",""
"dieselmarseille.fr","","","","",""
"dieselparis.fr","","","","",""
"dynastyparis.fr","","","","",""
"espace-debloc-part.fr","213.226.123.202","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"espace-declaration.fr","","","","",""
"espace-impots.fr","176.123.0.55","200019","176.123.0.0/24","ALEXHOST, MD","MD"
"furlaparis.fr","","","","",""
"gymsharkbordeaux.fr","","","","",""
"gymsharkmarseille.fr","","","","",""
"gymsharkparisshop.fr","","","","",""
"impots-notification.fr","176.123.0.55","200019","176.123.0.0/24","ALEXHOST, MD","MD"
"info-mesamendes-antai.fr","213.226.123.103","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"kedsmarseille.fr","","","","",""
"kedsparis.fr","","","","",""
"kswissparis.fr","","","","",""
"leebordeaux.fr","","","","",""
"ma-livraison-chrono-post.fr","","","","",""
"merrellparissale.fr","","","","",""
"mizunoparissale.fr","","","","",""
"mon-dossier-contravention.fr","198.58.118.167","63949","198.58.96.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"nosservice-bnpparibas.fr","","","","",""
"olivercabellparis.fr","","","","",""
"olivercabellstore.fr","","","","",""
"palladiummarseille.fr","","","","",""
"palladiumparis.fr","","","","",""
"sauconyparis.fr","","","","",""
"sauconyparissale.fr","","","","",""
"service-clients-bnp-paribas.fr","","","","",""
"sfr-demande-e-sim.fr","","","","",""
"sfr-esim-demande.fr","","","","",""
"stationnement-sanction.fr","","","","",""
"suivi-expedition-poste.fr","213.226.123.177","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"telepaiment-amendes.fr","","","","",""
"thursdaybootsparis.fr","","","","",""
"tomsparis.fr","","","","",""
"varleyparis.fr","","","","",""
