"fqdn","ip","asn","ip_prefix","owner","cc"
"20miutes.fr","45.33.20.235","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"antai-regularisation.fr","81.88.53.99","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"apobank.fr","45.33.23.183","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"avispenalite.fr","15.204.49.207","16276","15.204.0.0/17","OVH, FR","US"
"bredbanquepret.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"calzedoniafrance.fr","","","","",""
"communication-hfp.fr","45.33.23.183","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"controllissimo.fr","45.33.30.197","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"cpamtourcoing.fr","45.33.20.235","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"distri-matic.fr","45.33.20.235","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"dondesangefssante.fr","45.33.30.197","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"ducation-scurit-routiere.fr","173.255.194.134","63949","173.255.192.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"easyget.fr","45.33.23.183","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"equipements-environnement.fr","45.33.20.235","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"finances-amendes.fr","161.97.81.17","51167","161.97.80.0/23","CONTABO, DE","DE"
"g7-contact.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"impotgoiv.fr","45.33.23.183","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"initiatives-equiquettes.fr","72.14.185.43","63949","72.14.176.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"laboratoire-biolab.fr","72.14.185.43","63949","72.14.176.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"lgaccount.fr","45.33.20.235","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"lignedazur.fr","45.56.79.23","63949","45.56.64.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"linekin.fr","45.33.23.183","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"magasincybertek-pau.fr","","","","",""
"mail02vilogiorange.fr","45.33.20.235","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"nouvelle-cle-digital-bnp-paribas.fr","194.87.151.69","211252","194.87.151.0/24","AS_DELIS, US","CZ"
"particulier-espace-brsm.fr","213.226.123.202","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"perfectbodycellulite.fr","45.33.30.197","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"poloralphlaurenpascher.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"prevention-routiere-gouvernement.fr","","","","",""
"procleanet-service.fr","45.56.79.23","63949","45.56.64.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"radiologi-mim.fr","72.14.185.43","63949","72.14.176.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"recrutementmissionlocale.fr","72.14.178.174","63949","72.14.176.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"redirectrefrench.fr","109.172.44.223","207713","109.172.44.0/24","GIR-AS, RU","RU"
"samsoung.fr","173.255.194.134","63949","173.255.192.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"service-livraison-chronopost.fr","213.226.123.202","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"urassaf.fr","45.33.23.183","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"visio-nte.fr","72.14.185.43","63949","72.14.176.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"wwwsaurclient.fr","45.33.30.197","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"xn--cpam-isre-63a.fr","173.255.194.134","63949","173.255.192.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"xn--secures-imptsgouv-accs-v8b7w.fr","","","","",""
