"fqdn","ip","asn","ip_prefix","owner","cc"
"airbnb-rappel.fr","","","","",""
"ameli-eu.fr","","","","",""
"ameli-indemnisation.fr","","","","",""
"fr-ameli.fr","5.8.8.94","34665","5.8.8.0/23","PINDC-AS, RU","RU"
"infosecurbp.fr","107.175.94.196","36352","107.175.92.0/22","AS-COLOCROSSING, US","US"
"mesinfos-ameli.fr","","","","",""
"noreplycaisse-epargne.fr","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"ntflx-account.fr","193.233.48.93","210352","193.233.48.0/24","SERVER4-AS, RU","RU"
"secure-redirects.fr","","","","",""
"site-ameli.fr","","","","",""
