"fqdn","ip","asn","ip_prefix","owner","cc"
"11securiteabofr.fr","","","","",""
"12securiteabofr.fr","","","","",""
"13securitebro.fr","","","","",""
"1sfcpart-impotsgouv.fr","","","","",""
"actualisationinfo.fr","185.81.157.51","198375","185.81.156.0/22","INU-AS, FR","FR"
"akuoutlet.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"antai-secure.fr","","","","",""
"aviaparisoutlet.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"bershkaparis.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"chronopst-redirection.fr","","","","",""
"dhl-france-livraison.fr","","","","",""
"gouv-services.fr","","","","",""
"lululemonbordeaux.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"lululemonlyon.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"lululemonlyonvente.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"lululemonmarseille.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"lululemonparisboutique.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"lululemonparisoutlet.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"lululemonsoldesparis.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"moncompte-ca.fr","","","","",""
"olukaiparis.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"randolphlunettesparis.fr","185.26.105.244","24935","185.26.105.0/24","ATE-AS, FR","FR"
"rh-laposte.fr","45.148.244.250","200019","45.148.244.0/24","ALEXHOST, MD","RU"
"sfcpart-impottsgouv.fr","","","","",""
"snapmail.pm","","","","",""
"suivi-colis-express.fr","149.100.159.24","47583","149.100.158.0/23","AS-HOSTINGER, CY","US"
"telepaiement-gouv-secu.fr","","","","",""
"viagrapascher.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"yahoomail.pm","","","","",""
