"fqdn","ip","asn","ip_prefix","owner","cc"
"aboredisecurisation.fr","109.172.44.221","207713","109.172.44.0/24","GIR-AS, RU","RU"
"alpesbanquepopulaire.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"ameii.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"ameli-regularisation.fr","","","","",""
"amerli.fr","104.247.81.54","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"antai-identification.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"auchand.fr","104.247.82.52","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"batitel.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"biomediqual.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"bionacre.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"biopyrenees.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"bouyghestelecom.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"bricomann.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"caatlantiquevendee.fr","104.247.82.52","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"capeasi.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"cdisocunt.fr","104.247.81.54","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"cecmne.fr","104.247.82.54","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"chrono-post-commande.fr","213.226.123.202","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"chropost.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"cnept.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"dimora-shop.fr","217.61.43.22","31034","217.61.40.0/21","ARUBA-ASN, IT","IT"
"dsp2-securisation.fr","159.100.30.41","44066","159.100.0.0/19","DE-FIRSTCOLO www.first-colo.net, DE","DE"
"eauveolia.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"edfrecrute.fr","104.247.82.53","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"efigaro.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"espace-identification.fr","62.4.16.92","12876","62.4.0.0/19","Online SAS, FR","FR"
"fapvid.fr","104.247.82.10","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"filmz.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"guedet.fr","104.247.81.52","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"idf-navigo.fr","87.121.221.130","211252","87.121.221.0/24","AS_DELIS, US","BG"
"infoparticuliers-sg.fr","20.199.180.91","8075","20.192.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"infopresse.fr","104.247.81.54","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"jeuxolympiqueparis2024.fr","","","","",""
"lacaissederetraite.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"laredoude.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"lbclivraisons.fr","54.183.102.22","16509","54.183.0.0/17","AMAZON-02, US","US"
"leboncpoin.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"lemmonde.fr","104.247.82.53","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"ma-carte-ameli.fr","213.226.123.202","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"ma-sante-vital.fr","","","","",""
"magasintouloncybertek.fr","149.100.145.227","47583","149.100.144.0/23","AS-HOSTINGER, CY","US"
"mairieaubervillers.fr","","","","",""
"mappay.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"messageriefree.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"messagerienordnet.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"mon-envoi-chronopost.fr","213.226.123.202","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"monespacehabillement.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"montpelier.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"nocive.fr","104.247.81.54","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"oldertube.fr","104.247.81.10","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"payer-amendes-espace.fr","","","","",""
"poleeploi.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"polemeploi.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"salpetriere.fr","104.247.82.52","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"secure-axa.fr","159.100.30.41","44066","159.100.0.0/19","DE-FIRSTCOLO www.first-colo.net, DE","DE"
"securisationaboredirec.fr","109.172.44.223","207713","109.172.44.0/24","GIR-AS, RU","RU"
"shoroom.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"societegeneralei.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"suivis-livraisons-chronopost.fr","","","","",""
"tiendo.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"tiseo.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"trasavia.fr","104.247.81.74","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"uncanss.fr","104.247.81.54","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"verification-vitale.fr","","","","",""
"vertbeaudet.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"vigiecrue.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"vorweck.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
