"fqdn","ip","asn","ip_prefix","owner","cc"
"abaya-store.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"abonnement-idf.fr","5.42.199.29","49943","5.42.199.0/24","ITRESHENIYA-AS, RU","RU"
"account-wizink.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"alertes-amendes.fr","","","","",""
"ameli-site.fr","","","","",""
"amende-servicepublic.fr","","","","",""
"amendes-antai.fr","","","","",""
"amendes-pay-gov.fr","45.132.96.179","207992","45.132.96.0/24","FEELB, FR","SE"
"antai-contraventions.fr","","","","",""
"assurance-vitale.fr","13.38.42.205","16509","13.36.0.0/14","AMAZON-02, US","US"
"chatgptlogin.fr","64.190.63.111","47846","64.190.62.0/23","SEDO-AS, DE","DE"
"chronopost-livraison-service.fr","","","","",""
"client-monespace.fr","","","","",""
"coolshoes.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"dossier-caf.fr","","","","",""
"espace-regularisation.fr","15.204.49.236","16276","15.204.0.0/17","OVH, FR","US"
"hoganoutlet.fr","196.196.155.5","58065","196.196.155.0/24","PACKETEXCHANGE, GB","SC"
"information-redirection.fr","","","","",""
"john-deere.fr","104.21.35.23","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
"laposte-suivi-colissimo.fr","","","","",""
"moncolis-chrono.fr","217.160.0.10","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"nouvelle-vitale.fr","13.38.42.205","16509","13.36.0.0/14","AMAZON-02, US","US"
"onlyfans.yt","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"paiement-amendes-antai.fr","","","","",""
"payer-ma-contravention.fr","","","","",""
"ser-majsg.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"servicecontravention.fr","15.204.49.236","16276","15.204.0.0/17","OVH, FR","US"
"ventout.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"xn--monespace-prparation-m2b.fr","","","","",""
"xn--rgler-mon-infraction-b2b.fr","","","","",""
"xn--rgularisation-info-bwb.fr","","","","",""
"yhjkm-sg.fr","","","","",""
