"fqdn","ip","asn","ip_prefix","owner","cc"
"accestore.fr","23.227.38.32","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"airbackfrance.fr","104.21.53.104","13335","104.21.48.0/20","CLOUDFLARENET, US","US"
"ameli-information.fr","172.187.216.170","8075","172.160.0.0/11","MICROSOFT-CORP-MSN-AS-BLOCK, US","GB"
"assistance-apple.fr","159.100.14.127","44066","159.100.0.0/19","DE-FIRSTCOLO firstcolo.net, DE","DE"
"assuramelfr.fr","","","","",""
"carolchaussures.fr","23.227.38.36","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"espacesonline.fr","23.227.38.71","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"fr-supermarchematch.fr","193.203.239.66","210403","193.203.239.0/24","LWS, FR","FR"
"hsbcbank.fr","204.11.59.216","46606","204.11.58.0/23","UNIFIEDLAYER-AS-1, US","US"
"livraison-programmation.fr","37.221.67.237","200019","37.221.67.0/24","ALEXHOST, MD","RU"
"localiser-map.fr","159.100.14.127","44066","159.100.0.0/19","DE-FIRSTCOLO firstcolo.net, DE","DE"
"localiser-services.fr","159.100.14.127","44066","159.100.0.0/19","DE-FIRSTCOLO firstcolo.net, DE","DE"
"logistique-infosms-laposte.fr","172.187.216.170","8075","172.160.0.0/11","MICROSOFT-CORP-MSN-AS-BLOCK, US","GB"
"mon-actualisation-espace-enligne.fr","217.160.0.131","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"mon-espace-actualisation-enligne.fr","217.160.0.240","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"psuiapal.fr","","","","",""
"sachaussures.fr","104.21.15.185","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"sacs-femme.fr","92.113.28.15","47583","92.113.24.0/21","AS-HOSTINGER, CY","UA"
"service-mondiai-relai.fr","","","","",""
"service-mondial-relai.fr","87.120.112.117","401115","87.120.112.0/24","EKABI, US","BG"
"sorodsit.fr","154.56.33.74","47583","154.56.32.0/23","AS-HOSTINGER, CY","US"
"thefrankieshop-france.fr","104.21.46.13","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
