"fqdn","ip","asn","ip_prefix","owner","cc"
"actualisation-espace-assure-enligne.fr","94.103.188.82","200019","94.103.188.0/24","ALEXHOST, MD","RU"
"alliexpres.fr","","","","",""
"cartevital.fr","20.77.42.129","8075","20.64.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"connect-espace.fr","","","","",""
"findmy-support.fr","172.67.190.247","13335","172.67.176.0/20","CLOUDFLARENET, US","US"
"info-retraites.fr","199.59.243.227","16509","199.59.243.0/24","AMAZON-02, US","US"
"info-suivi.fr","172.67.203.131","13335","172.67.192.0/20","CLOUDFLARENET, US","US"
"ldlcloud.fr","172.67.136.9","13335","172.67.128.0/20","CLOUDFLARENET, US","US"
"nikefreerun.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"quayfrance.fr","5.157.59.53","41564","5.157.59.0/24","AS41564, GB","SC"
