"fqdn","ip","asn","ip_prefix","owner","cc"
"acceuil-ameli.fr","54.225.42.47","14618","54.224.0.0/15","AMAZON-AES, US","US"
"amelicartevital.fr","62.210.144.239","12876","62.210.0.0/16","Online SAS, FR","FR"
"commandes-amazon.fr","","","","",""
"fnac-gaming.fr","162.0.217.18","22612","162.0.217.0/24","NAMECHEAP-NET, US","US"
"franprix-groupe.fr","","","","",""
"franprixservice.fr","","","","",""
"googledomains.fr","217.160.0.125","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"impostguov.fr","","","","",""
"labanque-populaire.fr","","","","",""
"messagerie-leboncoin.fr","","","","",""
"xn--sant-ameli-e7a.fr","","","","",""
"xn--servicesant-lbb.fr","178.32.215.166","16276","178.32.0.0/15","OVH, FR","FR"
