"fqdn","ip","asn","ip_prefix","owner","cc"
"assurance-maladie-assistance.fr","193.233.48.93","210352","193.233.48.0/24","SERVER4-AS, RU","RU"
"bnp-group.fr","156.67.72.214","47583","156.67.64.0/20","AS-HOSTINGER, CY","US"
"bnpparibas-securisation.fr","","","","",""
"ca-centrest-particulier.fr","45.134.174.92","43641","45.134.174.0/24","SOLLUTIUM-NL, PL","UA"
"capgemini-technology-services.fr","","","","",""
"cartes-vitale.fr","185.98.131.227","210403","185.98.131.0/24","LWS, FR","FR"
"cartes-vitales.fr","193.233.202.55","200019","193.233.202.0/23","ALEXHOST, MD","RU"
"cib-bnpparibas.fr","","","","",""
"fr-scc-france.fr","","","","",""
"franprixdistribution.fr","","","","",""
"group-darty.fr","185.98.131.227","210403","185.98.131.0/24","LWS, FR","FR"
"moncompteorganismeformation.fr","104.21.47.155","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
"mondials-relay.fr","92.222.148.199","16276","92.222.0.0/16","OVH, FR","FR"
"passage-secure.fr","193.233.48.73","210352","193.233.48.0/24","SERVER4-AS, RU","RU"
"recuppaylib.fr","","","","",""
