"fqdn","ip","asn","ip_prefix","owner","cc"
"aide-vitale.fr","45.139.104.97","399979","45.139.104.0/24","AS-493NETWORKING, US","BG"
"amelie-enligne-sms.fr","176.123.1.139","200019","176.123.1.0/24","ALEXHOST, MD","MD"
"birkenstockofficiel.fr","185.98.131.135","210403","185.98.131.0/24","LWS, FR","FR"
"caterpillarfr.fr","104.21.3.196","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"comission-vitale.fr","45.139.104.97","399979","45.139.104.0/24","AS-493NETWORKING, US","BG"
"demande-renouvellement-espace-assure.fr","176.123.2.26","200019","176.123.2.0/24","ALEXHOST, MD","MD"
"engie-recouvrement.fr","","","","",""
"espace-ameli-enligne.fr","193.143.1.103","198953","193.143.1.0/24","PROTON66, RU","RU"
"gouv-finances.fr","198.185.159.144","53831","198.185.159.0/24","SQUARESPACE, US","US"
"guide-vitale.fr","172.67.151.159","13335","172.67.144.0/20","CLOUDFLARENET, US","US"
"haircare-wholesale.fr","81.2.196.19","24806","81.2.192.0/18","INTERNET-CZ Ktis 2, 384 03 Ktis, CZ","CZ"
"haircarewholesale.fr","81.2.196.19","24806","81.2.192.0/18","INTERNET-CZ Ktis 2, 384 03 Ktis, CZ","CZ"
"liveyoutube.fr","","","","",""
"ntpaypl.fr","62.4.16.72","12876","62.4.0.0/19","Online SAS, FR","FR"
"sms-sante-enligne.fr","46.30.215.67","51468","46.30.208.0/21","ONECOM, DK","DK"
"spectacles-carrefour.fr","","","","",""
"stussyclub.fr","3.33.130.190","16509","3.33.128.0/20","AMAZON-02, US","US"
"teddyfreshfrance.fr","196.196.12.149","63119","196.196.12.0/24","AS-63119, SC","SC"
"thejacquemus.fr","","","","",""
"traitement-vitale.fr","45.139.104.97","399979","45.139.104.0/24","AS-493NETWORKING, US","BG"
"vitale-renouvellement.fr","20.117.224.127","8075","20.64.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"wetransferts.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
