"fqdn","ip","asn","ip_prefix","owner","cc"
"amazon-verification.fr","89.105.198.121","24875","89.105.192.0/19","NOVOSERVE-AS, NL","NL"
"amelie-espace-sms.fr","176.123.1.139","200019","176.123.1.0/24","ALEXHOST, MD","MD"
"client-creditmutuel.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"credlt-mutuel.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"echec-livraison.fr","","","","",""
"espace-client-doctolib.fr","176.123.1.214","200019","176.123.1.0/24","ALEXHOST, MD","MD"
"expiration-assure-2024.fr","185.98.137.217","210403","185.98.137.0/24","LWS, FR","FR"
"find-my-apple.fr","172.67.141.252","13335","172.67.128.0/20","CLOUDFLARENET, US","US"
"la-poste-colissimo.fr","66.151.33.55","57043","66.151.33.0/24","HOSTKEY-AS, NL","NL"
"no-bullfrance.fr","196.196.38.245","58065","196.196.38.0/24","PACKETEXCHANGE, GB","SC"
"panterastores.fr","23.227.38.36","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"service-amende.fr","154.62.106.27","47583","154.62.106.0/24","AS-HOSTINGER, CY","US"
"service-amendes.fr","20.117.224.127","8075","20.64.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"updatecoinbase.fr","","","","",""
"votrefacturation.fr","","","","",""
