"fqdn","ip","asn","ip_prefix","owner","cc"
"alterspin-fr.fr","209.99.186.25","402253","209.99.184.0/21","SKN-NETWORK-1 - SKN Subnet & Telecom Ltd, KN","KN"
"bankonbetcasino.fr","104.247.81.99","206834","104.247.80.0/22","TEAMINTERNET-CA-AS - Team Internet AG, DE","CA"
"bigclash-bet.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"bigclash-bonus.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"bigclash-game.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"bigclash-review.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"bigclash-slot.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"birknstock.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"casino-gambloria.fr","172.67.160.254","13335","172.67.160.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"celciuscasino.fr","","","","",""
"chicken-road-2-officiel.fr","","","","",""
"chicken-road-2-site.fr","104.21.19.105","13335","104.21.16.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"chicken-road-two.fr","104.21.28.130","13335","104.21.16.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"chicken-roads-fr.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"chicken-roads-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"chicken-roadsfr.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"chickenroad2bonus.fr","172.67.161.215","13335","172.67.160.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"chickenroad2fr.fr","104.21.11.226","13335","104.21.0.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"chickenroads-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"chickenroadsfr.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"compte-pay.fr","172.67.203.59","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"footoutlet.fr","69.62.118.103","47583","69.62.116.0/22","AS-HOSTINGER - Hostinger International Limited, CY","LT"
"hugo-bet-casino.fr","","","","",""
"legiano-casino-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"legiano-casinos-fr.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"legianocasino-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"legianocasinos-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"legianosfr.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"lizaro-casino-online.fr","185.53.179.146","206834","185.53.179.0/24","TEAMINTERNET-CA-AS - Team Internet AG, DE","DE"
"lizaro-casinos.fr","185.53.179.146","206834","185.53.179.0/24","TEAMINTERNET-CA-AS - Team Internet AG, DE","DE"
"lizaro-online-casino.fr","185.53.179.146","206834","185.53.179.0/24","TEAMINTERNET-CA-AS - Team Internet AG, DE","DE"
"millioncasino.fr","","","","",""
"mondial-relay-relivraison-colis.fr","91.208.206.168","200019","91.208.206.0/24","AlexHost - ALEXHOST SRL, MD","MD"
"my-stake-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"my-stakes-fr.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"my-stakes-france.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"mystk-fr.fr","209.99.186.25","402253","209.99.184.0/21","SKN-NETWORK-1 - SKN Subnet & Telecom Ltd, KN","KN"
"ohpollyfrance.fr","","","","",""
"rugby-maillot.fr","8.208.52.59","45102","8.208.32.0/19","ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN","SG"
"sg-casino.fr","78.46.230.48","24940","78.46.0.0/15","HETZNER-AS - Hetzner Online GmbH, DE","DE"
"support-blockchain.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM - Google LLC, US","US"
"wolfy-casino.fr","","","","",""
"xn--crdit-agricole-wjb.fr","","","","",""
