"fqdn","ip","asn","ip_prefix","owner","cc"
"ameli-assurancemaldie-secure.fr","","","","",""
"ameli-vitale-assurance.fr","","","","",""
"assistanceameli-info.fr","","","","",""
"diplomatiegouv.fr","","","","",""
"id-ameli.fr","","","","",""
"impot-infogouv.fr","","","","",""
"lassuranceretrraite.fr","185.53.177.51","61969","185.53.176.0/22","TEAMINTERNET-AS, DE","DE"
"mes-services-mabanquebnpparibas.fr","","","","",""
"min-eductation-gouve.fr","","","","",""
"min-sante-gouve-france.fr","217.160.0.70","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"particsecuinfsg.fr","99.83.154.118","16509","99.83.144.0/20","AMAZON-02, US","US"
"partisecusbpinfo.fr","99.83.154.118","16509","99.83.144.0/20","AMAZON-02, US","US"
"support-apple.fr","","","","",""
"support-tech-france.fr","","","","",""
"support-tech.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"supportsecure.fr","","","","",""
