"fqdn","ip","asn","ip_prefix","owner","cc"
"2560.paris","104.21.78.129","13335","104.21.64.0/20","CLOUDFLARENET, US","US"
"70110.paris","202.58.105.211","393889","202.58.105.0/24","EIGHTJOY-NETWORK-LLC, US","CN"
"70111.paris","8.218.75.13","45102","8.218.0.0/17","ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN","SG"
"70112.paris","202.58.105.211","393889","202.58.105.0/24","EIGHTJOY-NETWORK-LLC, US","CN"
"70113.paris","202.58.105.211","393889","202.58.105.0/24","EIGHTJOY-NETWORK-LLC, US","CN"
"70114.paris","202.58.105.211","393889","202.58.105.0/24","EIGHTJOY-NETWORK-LLC, US","CN"
"70115.paris","8.218.75.13","45102","8.218.0.0/17","ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN","SG"
"770715.paris","20.239.81.17","8075","20.192.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"action-france.fr","67.215.15.226","36666","67.215.0.0/20","GTCOMM, CA","CA"
"amelifrances.fr","","","","",""
"amelimacartevitale.fr","","","","",""
"ccreditagrico.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"creditagricoleparis.fr","192.162.70.139","210403","192.162.68.0/22","LWS, FR","FR"
"mon-compte-impotsgouv.fr","","","","",""
"paypal-secureserv.fr","45.158.77.18","207992","45.158.77.0/24","FEELB, FR","GB"
"remboursement-impots.fr","","","","",""
"secures-ameli.fr","70.32.1.32","32181","70.32.0.0/21","ASN-GIGENET, US","US"
"snapchat-fr.fr","176.31.181.187","16276","176.31.0.0/16","OVH, FR","FR"
"teleshoppinge.fr","104.21.56.245","13335","104.21.48.0/20","CLOUDFLARENET, US","US"
"verification-amazon.fr","","","","",""
"web-credit-agricole.fr","217.160.0.82","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"zc123.paris","103.71.154.202","132325","103.71.154.0/24","LEMON-AS-AP LEMON TELECOMMUNICATIONS LIMITED, HK","HK"
"zc816.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc817.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc818.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc819.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc820.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc821.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc822.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc823.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc824.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc825.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc826.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc827.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc828.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc829.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc830.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc831.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc832.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc833.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc834.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"zc835.paris","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
