"fqdn","ip","asn","ip_prefix","owner","cc"
"abonnements-activations.fr","","","","",""
"acces-nickel.fr","51.89.158.66","16276","51.89.0.0/16","OVH, FR","FR"
"amelie-service.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"amendes-paiement.fr","194.50.111.13","203790","194.50.111.0/24","UP-NETWORK, FR","CH"
"antai-amende.fr","45.145.166.211","207992","45.145.166.0/24","FEELB, FR","FR"
"bnp-particuliers.fr","","","","",""
"certificat-air-gouv-fr.fr","212.227.71.101","8560","212.227.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"colissimo-suivre-poste.fr","173.234.28.236","63018","173.234.28.0/24","DEDICATED, US","US"
"compte-suspendu.fr","20.199.42.193","8075","20.192.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"connect-n3tflix.fr","91.188.254.126","15440","91.188.254.0/24","BALTNETA Customers AS, LT","BG"
"disney-moncompte.fr","213.226.123.72","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"disney-support.fr","179.43.154.223","51852","179.43.128.0/18","PLI-AS, PA","PA"
"dreets-g0uv.fr","217.160.0.182","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"espace-vitalegouv.fr","","","","",""
"gouv-stationnement.fr","82.165.106.199","8560","82.165.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"help-renouv-cartev.fr","194.50.111.13","203790","194.50.111.0/24","UP-NETWORK, FR","CH"
"hrza59-societegenerale.fr","","","","",""
"ict-impot.fr","45.145.166.211","207992","45.145.166.0/24","FEELB, FR","FR"
"info-servicesamendes.fr","","","","",""
"livraison-infos-d-hl.fr","213.226.123.72","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"mes-amendesgouv.fr","","","","",""
"mon-espace-amendes.fr","37.221.65.28","200019","37.221.64.0/22","ALEXHOST, MD","RU"
"mon-espace-securisation.fr","151.80.88.214","16276","151.80.0.0/16","OVH, FR","IT"
"mon-suivichronopost.fr","194.50.111.13","203790","194.50.111.0/24","UP-NETWORK, FR","CH"
"netflix-renouvellement-account.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"olukai-france.fr","","","","",""
"orangemessagerie.fr","","","","",""
"payementsecurise.fr","81.88.57.68","39729","81.88.57.0/24","REGISTER-AS, IT","IT"
"relaispickup-colis.fr","194.5.159.53","47583","194.5.159.0/24","AS-HOSTINGER, CY","DE"
"service-infractions.fr","213.226.123.103","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"sfr-service-abonnement.fr","194.9.172.230","207992","194.9.172.0/24","FEELB, FR","FR"
