"fqdn","ip","asn","ip_prefix","owner","cc"
"bousstickets.fr","23.227.38.70","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"burton-soldes.fr","172.67.195.69","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"casino-mafia-france.fr","5.61.63.226","9009","5.61.62.0/23","M247, RO","AE"
"gouv-tech.fr","","","","",""
"infos-sante.fr","45.74.47.162","213441","45.74.47.0/24","SLAYER-AS, GB","US"
"lunubet-fr.fr","213.132.197.99","39704","213.132.192.0/19","CJ2-AS, NL","NL"
"mizuno-chaussure.fr","104.21.52.4","13335","104.21.48.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"mon-espace-suivi.fr","217.160.0.135","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"mypcscoupon.fr","213.158.93.64","34762","213.158.92.0/22","COMBELL-AS, BE","IT"
"niketn.fr","195.201.69.223","24940","195.201.0.0/16","HETZNER-AS, DE","DE"
"parissportifs-enligne.fr","","","","",""
"telepaiements.fr","158.94.209.86","202412","158.94.209.0/24","OMEGATECH-AS, SC","TR"
