"fqdn","ip","asn","ip_prefix","owner","cc"
"acheminement-laposte.fr","217.160.0.119","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"agences-societegenerale.fr","34.173.99.89","396982","34.173.0.0/17","GOOGLE-CLOUD-PLATFORM, US","US"
"ameli-cnam.fr","79.132.128.88","58329","79.132.128.0/24","RACKPLACE, DE","DE"
"app-monespace-vitale.fr","91.242.217.17","212228","91.242.217.0/24","SERVINGA-UK, DE","DE"
"banquepolulaire.fr","199.59.243.222","16509","199.59.243.0/24","AMAZON-02, US","US"
"billabongfrance.fr","","","","",""
"billabongoutletfrance.fr","","","","",""
"bnpparibas-annulation-paiement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"ca-annulation-paiement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"chronopost-secure.fr","213.226.123.102","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"chronopostaides.fr","146.70.145.144","9009","146.70.145.0/24","M247, RO","RO"
"cic-annulation-paiement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"compte-restreint-netflix.fr","45.148.116.34","203790","45.148.116.0/24","UP-NETWORK, CH","CH"
"connexion-societegenerale.fr","34.173.99.89","396982","34.173.0.0/17","GOOGLE-CLOUD-PLATFORM, US","US"
"cpam-renouvellement-info.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"cred-mutuel-annulation.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"dickiesfrance.fr","","","","",""
"easucash.fr","199.59.243.222","16509","199.59.243.0/24","AMAZON-02, US","US"
"esim-sfr-france.fr","185.216.71.197","211252","185.216.71.0/24","AS_DELIS, US","BG"
"facturesfr.fr","99.83.175.80","16509","99.83.160.0/20","AMAZON-02, US","US"
"fnax.fr","199.59.243.222","16509","199.59.243.0/24","AMAZON-02, US","US"
"formulairecartev.fr","213.226.123.102","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"lamutellegenerale.fr","199.59.243.222","16509","199.59.243.0/24","AMAZON-02, US","US"
"laposte-suivi.fr","146.19.168.121","207992","146.19.168.0/24","FEELB, FR","FR"
"lbp-annulation-paiement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"lcl-annulation-paiement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"ligneorange.fr","216.239.38.21","15169","216.239.38.0/24","GOOGLE, US","US"
"ma-certif-critair.fr","45.148.116.34","203790","45.148.116.0/24","UP-NETWORK, CH","CH"
"netfiix-officiel.fr","103.155.92.128","45839","103.155.92.0/24","SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd, MY","MY"
"nouvelle-ameli.fr","5.8.8.97","34665","5.8.8.0/23","PINDC-AS, RU","RU"
"pageszjaunes.fr","199.59.243.222","16509","199.59.243.0/24","AMAZON-02, US","US"
"renouvellementcompte.fr","109.206.243.189","211252","109.206.243.0/24","AS_DELIS, US","BG"
"saclongchamp-pas-cher.fr","34.102.136.180","396982","34.100.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"servicesupport-ameli.fr","88.151.197.208","208226","88.151.197.0/24","OUIHEBERG, FR","AZ"
"sgsecuriaccountpass.fr","34.102.136.180","396982","34.100.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"tpepascher.fr","185.98.131.133","210403","185.98.131.0/24","LWS, FR","FR"
"verif-info.fr","91.242.217.17","212228","91.242.217.0/24","SERVINGA-UK, DE","DE"
"vitale-sms-renouvellement.fr","","","","",""
"votre-colis-chronopost.fr","45.148.116.34","203790","45.148.116.0/24","UP-NETWORK, CH","CH"
"votrecompte-securepass.fr","45.148.116.34","203790","45.148.116.0/24","UP-NETWORK, CH","CH"
"xn--authentification-socit-gnral-vrcbcb.fr","62.4.21.205","12876","62.4.0.0/19","Online SAS, FR","FR"
