"fqdn","ip","asn","ip_prefix","owner","cc"
"ameli-renouveiiement.fr","","","","",""
"antai-infogouv.fr","45.139.104.76","399979","45.139.104.0/24","AS-493NETWORKING, US","BG"
"europol.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"infos-antai.fr","176.123.1.232","200019","176.123.1.0/24","ALEXHOST, MD","MD"
"payez-amandes.fr","104.21.77.179","13335","104.21.64.0/20","CLOUDFLARENET, US","US"
"relance-abonnement.fr","45.139.104.76","399979","45.139.104.0/24","AS-493NETWORKING, US","BG"
"renouveiiement-ameli.fr","","","","",""
"renouvellement-assure-sante.fr","","","","",""
"sgdsn-gov.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"viginum-gov.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"xn--dossier-rgularisation-j5b.fr","","","","",""
