"fqdn","ip","asn","ip_prefix","owner","cc"
"converse-fr.fr","172.67.198.201","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"corteizofficialstore.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"espace-confirmation.fr","92.113.24.24","47583","92.113.24.0/21","AS-HOSTINGER - Hostinger International Limited, CY","UA"
"fanmaillot.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"francetelee.fr","185.11.145.145","47674","185.11.145.0/24","NETSOLUTIONS - Net Solutions - Consultoria Em Tecnologias De Informacao, Sociedade Unipessoal LDA, MO","NL"
"maillotmondial.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"maillotnation.fr","185.158.133.1","13335","185.158.133.0/24","CLOUDFLARENET - Cloudflare, Inc., US","AE"
"maillots-officiels.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"psg-crypto.fr","213.186.33.5","16276","213.186.32.0/19","OVH - OVH SAS, FR","FR"
"psg30mai.fr","23.227.38.73","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"psgcrypto.fr","213.186.33.5","16276","213.186.32.0/19","OVH - OVH SAS, FR","FR"
"vinted-verification.fr","76.76.21.21","16509","76.76.21.0/24","AMAZON-02 - Amazon.com, Inc., US","US"
