"fqdn","ip","asn","ip_prefix","owner","cc"
"acces-lbc.fr","145.14.156.183","47583","145.14.156.0/22","AS-HOSTINGER, CY","DE"
"campusadidas.fr","172.67.137.83","13335","172.67.128.0/20","CLOUDFLARENET, US","US"
"gouv-cybersecurite.fr","185.98.131.135","210403","185.98.131.0/24","LWS, FR","FR"
"icebugfrance.fr","172.64.80.1","13335","172.64.80.0/20","CLOUDFLARENET, US","US"
"nbbalance.fr","104.21.48.79","13335","104.21.48.0/20","CLOUDFLARENET, US","US"
"organicbasicsfrance.fr","165.231.36.232","41564","165.231.36.0/24","AS41564, GB","SC"
"pleaserchaussures.fr","165.231.36.224","41564","165.231.36.0/24","AS41564, GB","SC"
"remboursement-pro.fr","23.227.38.67","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"rfconnexpal.fr","62.210.144.158","12876","62.210.0.0/16","Online SAS, FR","FR"
"virement-boursorama.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"zadigoutlet.fr","217.160.0.10","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
