"fqdn","ip","asn","ip_prefix","owner","cc"
"arenacasino.fr","185.53.179.128","206834","185.53.179.0/24","TEAMINTERNET-CA-AS, DE","DE"
"betclic-conditions-generales.fr","178.170.16.216","21409","178.170.0.0/17","IKOULA, FR","FR"
"billabongsoldes.fr","172.67.205.193","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"billeteriejul.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"cashed-fr.fr","","","","",""
"eiffage-group.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"enzo-fr.fr","104.21.83.200","13335","104.21.80.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"guess-sac.fr","104.21.83.52","13335","104.21.80.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"lebetzino.fr","176.97.76.45","9009","176.97.76.0/24","M247, RO","AE"
"mbtoutlet.fr","104.21.47.169","13335","104.21.32.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"niketn.fr","","","","",""
"olameli.fr","51.91.236.255","16276","51.91.0.0/16","OVH, FR","FR"
"sgenparticuliers.fr","104.21.24.236","13335","104.21.16.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"societe-securipass-general.fr","158.94.209.89","202412","158.94.209.0/24","OMEGATECH-AS, SC","TR"
"stakelogin.fr","185.53.179.128","206834","185.53.179.0/24","TEAMINTERNET-CA-AS, DE","DE"
"winamax-conditions-generales.fr","178.170.16.216","21409","178.170.0.0/17","IKOULA, FR","FR"
"wwebmail-orange.fr","149.248.76.227","399629","149.248.76.0/24","BLNWX - BL Networks, US","US"
