"fqdn","ip","asn","ip_prefix","owner","cc"
"burberryoutlet.fr","172.67.219.201","13335","172.67.208.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"chatgptplus.fr","147.79.72.105","47583","147.79.72.0/21","AS-HOSTINGER, CY","US"
"contact-everyone-orange-business.fr","185.53.179.136","206834","185.53.179.0/24","TEAMINTERNET-CA-AS, DE","DE"
"mondial-relay-suivis.fr","45.74.47.181","213441","45.74.47.0/24","SLAYER-AS, GB","US"
"unique-casino-pari.fr","213.132.197.99","39704","213.132.192.0/19","CJ2-AS, NL","NL"
