"fqdn","ip","asn","ip_prefix","owner","cc"
"abopro-prime.fr","193.149.190.53","399629","193.149.190.0/24","BLNWX, US","US"
"amonscasino.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"digit-prime.fr","206.71.149.216","399629","206.71.149.0/24","BLNWX, US","US"
"digital-prime.fr","193.149.180.16","399629","193.149.180.0/24","BLNWX, US","US"
"dossier-ameli.fr","81.169.145.77","6724","81.169.144.0/22","STRATO STRATO AG, DE","DE"
"electronique-prime.fr","193.149.180.16","399629","193.149.180.0/24","BLNWX, US","US"
"helpsecurepay.fr","45.139.104.34","399979","45.139.104.0/24","AS-493NETWORKING, US","BG"
"infobd-prime.fr","193.149.190.53","399629","193.149.190.0/24","BLNWX, US","US"
"inv-prime.fr","206.71.149.216","399629","206.71.149.0/24","BLNWX, US","US"
"locowin-casinos.fr","185.196.10.53","42624","185.196.10.0/24","SWISSNETWORK02, SC","SC"
"macartevitale.fr","46.30.211.38","51468","46.30.208.0/21","ONECOM, DK","DK"
"maisonprime.fr","172.67.199.183","13335","172.67.192.0/20","CLOUDFLARENET, US","US"
"moncompteformation-cpf.fr","","","","",""
"mondial-relay-pickup.fr","198.49.23.145","53831","198.49.23.0/24","SQUARESPACE, US","US"
"nyxbets-officiel.fr","185.53.177.20","61969","185.53.176.0/22","TEAMINTERNET-AS, DE","DE"
"oyshofrance.fr","104.21.33.194","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
"vtn-prime.fr","206.71.149.216","399629","206.71.149.0/24","BLNWX, US","US"
