"fqdn","ip","asn","ip_prefix","owner","cc"
"amendeinfogservice.fr","","","","",""
"g7taxi-reservations.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"gouv-contraventions.fr","","","","",""
"livraison-suivis.fr","193.233.203.102","200019","193.233.202.0/23","ALEXHOST, MD","RU"
"netfilx-compte.fr","185.28.39.57","213035","185.28.39.0/24","AS-SERVERION Serverion B.V., NL","NL"
"nikerequin.fr","172.67.218.97","13335","172.67.208.0/20","CLOUDFLARENET, US","US"
"redirection-ethernet.fr","95.214.26.78","216419","95.214.26.0/24","AS-MATRIXTELECOM, GB","BG"
"suivi-express-inc.fr","95.214.25.67","216419","95.214.25.0/24","AS-MATRIXTELECOM, GB","BG"
"xn--renouvellement-amli-rzb.fr","95.214.25.196","216419","95.214.25.0/24","AS-MATRIXTELECOM, GB","BG"
