"fqdn","ip","asn","ip_prefix","owner","cc"
"actualisation-service-public-ameli.fr","83.229.87.142","204548","83.229.87.0/24","CLOUDWEBMANAGE-IL-FR, US","IL"
"ameli-mesdroits.fr","","","","",""
"client-ameli.fr","172.64.80.1","13335","172.64.80.0/20","CLOUDFLARENET, US","US"
"cybertek-magasinbrest.fr","","","","",""
"francenumgouv.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"gouvv.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"loginorangeclients.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"magasincybertekbrest.fr","","","","",""
"magasins-monoprix.fr","185.135.132.106","210403","185.135.132.0/24","LWS, FR","FR"
"majoration-gouv-amende.fr","","","","",""
"mon-reglement-contraventions.fr","31.187.76.95","47583","31.187.76.0/24","AS-HOSTINGER, CY","DE"
"mon-suivi-dhl.fr","185.221.67.30","211760","185.221.67.0/24","AS-SUISSE, SC","BG"
"moonbootsfrance.fr","196.242.179.216","58065","196.242.179.0/24","PACKETEXCHANGE, GB","SC"
"nolimeo.fr","193.163.77.11","29405","193.163.77.0/24","VNET-AS, SK","SK"
"reacceder-contravention.fr","213.226.123.172","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"retard-antai.fr","87.106.120.44","8560","87.106.120.0/22","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"sendrabootsfrance.fr","196.244.194.205","58065","196.244.194.0/24","PACKETEXCHANGE, GB","SC"
"seregulariser.fr","217.160.0.214","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
