"fqdn","ip","asn","ip_prefix","owner","cc"
"basket-home.fr","","","","",""
"basketsnike.fr","51.81.36.164","16276","51.81.0.0/17","OVH, FR","US"
"cheque-credit-mutuel.fr","185.196.11.170","42624","185.196.11.0/24","SWISSNETWORK02, SC","SC"
"deczthlon.fr","199.59.243.227","16509","199.59.243.0/24","AMAZON-02, US","US"
"dickies-france.fr","104.21.14.205","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"divinebydivinefrance.fr","154.56.47.211","47583","154.56.44.0/22","AS-HOSTINGER, CY","US"
"gant-france.fr","172.67.183.13","13335","172.67.176.0/20","CLOUDFLARENET, US","US"
"paiement-le-boncoin.fr","172.67.186.3","13335","172.67.176.0/20","CLOUDFLARENET, US","US"
"pickup-mondial-relay.fr","46.30.211.38","51468","46.30.208.0/21","ONECOM, DK","DK"
"q0nto.fr","216.24.57.1","397273","216.24.57.0/24","RENDER, US","US"
"reclamation-cofidis.fr","217.160.0.34","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"ticektmaster.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketaster.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmadter.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmast.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmaste.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmastee.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmastet.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmastwr.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"ticketmater.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
"tickmaster.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM, US","US"
