"fqdn","ip","asn","ip_prefix","owner","cc"
"assistance-ca.fr","194.126.193.53","210403","194.126.193.0/24","LWS, FR","FR"
"assistance-nickel.fr","194.126.193.53","210403","194.126.193.0/24","LWS, FR","FR"
"edf-gf.fr","158.94.209.86","202412","158.94.209.0/24","OMEGATECH-AS, SC","TR"
"edf-particulier.fr","158.94.209.86","202412","158.94.209.0/24","OMEGATECH-AS, SC","TR"
"edf-remboursement.fr","158.94.209.86","202412","158.94.209.0/24","OMEGATECH-AS, SC","TR"
"edf-reunion.fr","158.94.209.86","202412","158.94.209.0/24","OMEGATECH-AS, SC","TR"
"mondial-relay-reception.fr","72.62.232.145","47583","72.62.232.0/21","AS-HOSTINGER, CY","LT"
"monsuivicolisrelay.fr","194.110.247.92","200019","194.110.247.0/24","ALEXHOST, MD","RU"
"prime-install.fr","75.2.103.23","16509","75.2.96.0/20","AMAZON-02 - Amazon.com, Inc., US","US"
"prime-movies.fr","206.71.148.11","399629","206.71.148.0/24","BLNWX - BL Networks, US","US"
"prime-out.fr","206.71.148.11","399629","206.71.148.0/24","BLNWX - BL Networks, US","US"
"prime-produit.fr","206.71.149.216","399629","206.71.149.0/24","BLNWX - BL Networks, US","US"
"prime-welcome.fr","206.71.148.11","399629","206.71.148.0/24","BLNWX - BL Networks, US","US"
"service-ants-identite.fr","115.42.46.167","55285","115.42.46.0/24","SERVERSIDE - Serverside.com, CA","CA"
"thales-security.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"youtube.tf","","","","",""
