"fqdn","ip","asn","ip_prefix","owner","cc"
"acdsee.fr","104.247.81.52","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"acreims.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"afiny.fr","104.247.81.50","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"agefip.fr","104.247.82.53","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"agrr.fr","104.247.82.54","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"altasformen.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"amende-finances.fr","147.182.180.76","14061","147.182.176.0/20","DIGITALOCEAN-ASN, US","US"
"amende-gouve.fr","45.148.119.243","203790","45.148.119.0/24","UP-NETWORK, FR","CH"
"amendegouvernement.fr","194.50.111.13","203790","194.50.111.0/24","UP-NETWORK, FR","CH"
"amendes-pubiic.fr","194.55.224.191","211252","194.55.224.0/24","AS_DELIS, US","BG"
"amendes-service-pubic.fr","194.55.224.191","211252","194.55.224.0/24","AS_DELIS, US","BG"
"amendesgouvfr.fr","109.172.44.181","207713","109.172.44.0/24","GIR-AS, RU","RU"
"annulation-esim.fr","62.4.16.120","12876","62.4.0.0/19","Online SAS, FR","FR"
"antai-agence-nationale.fr","109.206.243.157","211252","109.206.243.0/24","AS_DELIS, US","BG"
"antai-contravention-paiement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"antai-dgfip.fr","216.239.38.21","15169","216.239.38.0/24","GOOGLE, US","US"
"antai-reglements.fr","","","","",""
"assuranceretraitre.fr","104.247.82.54","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"banalotto.fr","104.247.81.53","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"bazardland.fr","104.247.81.51","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"begummy.fr","104.247.82.54","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"biocentreloire.fr","104.247.81.52","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"biodiffusion.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"bluewin.fr","","","","",""
"bricomarcher.fr","104.247.82.53","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"bripicardie.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"cafranchecomte.fr","104.247.81.50","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"caidf.fr","104.247.81.74","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"caisse-epargne-espace.fr","45.148.119.243","203790","45.148.119.0/24","UP-NETWORK, FR","CH"
"campingcarplus.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"candimix.fr","104.247.81.50","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"capaca.fr","104.247.82.51","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"cardsf.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
