"fqdn","ip","asn","ip_prefix","owner","cc"
"amende-gouvernement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"amendes-infosgouv.fr","109.172.44.204","207713","109.172.44.0/24","GIR-AS, RU","RU"
"antai-gouv-facturation.fr","62.182.80.95","30860","62.182.80.0/23","YURTEH-AS, UA","UA"
"antai-infractions.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"b0urs0rama.fr","62.4.16.96","12876","62.4.0.0/19","Online SAS, FR","FR"
"banxo-ce.fr","62.4.16.27","12876","62.4.0.0/19","Online SAS, FR","FR"
"bourso-banque.fr","81.88.53.86","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"ca-print.fr","","","","",""
"caise-depargne.fr","62.4.16.225","12876","62.4.0.0/19","Online SAS, FR","FR"
"caisse-depargnes.fr","62.210.119.248","12876","62.210.0.0/16","Online SAS, FR","FR"
"ce-securpass.fr","213.226.123.15","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"chrono-colis-relivraison.fr","213.226.123.71","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"colissimo-infos.fr","","","","",""
"colissimomedia.fr","89.116.227.193","47583","89.116.226.0/23","AS-HOSTINGER, CY","LT"
"connect-navigo.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"connection-disney.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"consignation-amende.fr","240.0.0.1","NA","NA","NA",""
"cpam-espaceclient.fr","","","","",""
"dhl-espace-secure.fr","","","","",""
"dossiers-amendes.fr","","","","",""
"espace-cpam-client.fr","","","","",""
"espace-sante-vitale.fr","213.226.123.71","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"espacebanxo-ce.fr","62.4.16.27","12876","62.4.0.0/19","Online SAS, FR","FR"
"espaceclients-sfr.fr","213.226.123.104","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"find-apple.fr","104.21.60.27","13335","104.21.48.0/20","CLOUDFLARENET, US","US"
"free-subscribe.fr","89.116.147.194","47583","89.116.146.0/23","AS-HOSTINGER, CY","LT"
"gouv-regulariser.fr","194.110.247.184","200019","194.110.247.0/24","ALEXHOST, MD","RU"
"livraisonactu.fr","109.172.44.18","207713","109.172.44.0/24","GIR-AS, RU","RU"
"login-compte-disney.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"maj-epay.fr","109.172.44.33","207713","109.172.44.0/24","GIR-AS, RU","RU"
"mobiles-free.fr","62.4.16.27","12876","62.4.0.0/19","Online SAS, FR","FR"
"mon-instructioncolis.fr","213.226.123.71","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"portail-amende.fr","185.227.110.112","60781","185.227.110.0/24","LEASEWEB-NL-AMS-01 Netherlands, NL","GI"
"post-stationnement.fr","213.226.123.25","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"reglementamende.fr","194.55.224.181","211252","194.55.224.0/24","AS_DELIS, US","BG"
"regulation-amende.fr","213.226.123.104","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"service-amendes-antai.fr","109.172.44.29","207713","109.172.44.0/24","GIR-AS, RU","RU"
"services-public-amendes.fr","","","","",""
"sfr-espace-compte.fr","213.226.123.104","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"sfr-operateur.fr","193.42.33.244","138687","193.42.33.0/24","XDEER-AS-AP Xdeer Limited, HK","BG"
"sfr-verif-abonnement.fr","2.56.247.11","39421","2.56.247.0/24","SAPINET-AS, FR","DE"
"sg-particuliers-info.fr","62.182.80.95","30860","62.182.80.0/23","YURTEH-AS, UA","UA"
"usager-antai.fr","45.95.233.37","207713","45.95.233.0/24","GIR-AS, RU","RU"
