"fqdn","ip","asn","ip_prefix","owner","cc"
"adidasadizero.fr","104.21.39.160","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
"appdropbox.fr","217.160.0.83","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"consultez-votre-dossier.fr","172.187.229.14","8075","172.160.0.0/11","MICROSOFT-CORP-MSN-AS-BLOCK, US","GB"
"disney-abonnements.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"disney-plus-abonnement.fr","94.156.8.153","215240","94.156.8.0/24","NETRESEARCH, GB","BG"
"filsonfrance.fr","172.67.194.191","13335","172.67.192.0/20","CLOUDFLARENET, US","US"
"groupe-laposte.fr","","","","",""
"hokasoldes.fr","172.67.206.62","13335","172.67.192.0/20","CLOUDFLARENET, US","US"
"hunter-france.fr","104.21.5.98","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"mnmlfrance.fr","","","","",""
"mon-espace-assure-reconduction.fr","45.86.86.167","200019","45.86.86.0/24","ALEXHOST, MD","RU"
"netflix3europarsmois.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"nikeairjordan.fr","172.67.142.197","13335","172.67.128.0/20","CLOUDFLARENET, US","US"
"parabootparis.fr","104.21.3.250","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"prestations-vitale.fr","85.215.133.85","8560","85.215.128.0/17","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"quayaustraliafrance.fr","5.157.59.47","41564","5.157.59.0/24","AS41564, GB","SC"
