"fqdn","ip","asn","ip_prefix","owner","cc"
"appleservices.fr","172.67.212.192","13335","172.67.208.0/20","CLOUDFLARENET, US","US"
"asp-pubiic.fr","198.50.252.65","16276","198.50.128.0/17","OVH, FR","CA"
"cepaccaisse-epargne.fr","3.33.130.190","16509","3.33.128.0/20","AMAZON-02, US","US"
"coccinellesupermarche.fr","","","","",""
"drmartensfrance.fr","172.67.211.128","13335","172.67.208.0/20","CLOUDFLARENET, US","US"
"eiffage-btp.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"espace-enligne-assur.fr","85.239.33.142","200019","85.239.33.0/24","ALEXHOST, MD","RU"
"espace-mon-assure.fr","193.233.202.146","200019","193.233.202.0/23","ALEXHOST, MD","RU"
"espace-vitale-gestion.fr","172.187.229.14","8075","172.160.0.0/11","MICROSOFT-CORP-MSN-AS-BLOCK, US","GB"
"essofrance.fr","217.160.0.23","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"filafrancecshop.fr","165.231.4.113","57858","165.231.4.0/24","AS57858, SC","SC"
"hokaonesolde.fr","196.242.179.159","58065","196.242.179.0/24","PACKETEXCHANGE, GB","SC"
"id-icloud.fr","217.160.0.188","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"meshki-france.fr","104.21.13.158","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"mon-assur-espace-enligne.fr","194.110.247.231","200019","194.110.247.0/24","ALEXHOST, MD","RU"
"monassurancevitale.fr","","","","",""
"nobullenfrance.fr","104.21.48.8","13335","104.21.48.0/20","CLOUDFLARENET, US","US"
"orange-entreprise.fr","82.66.247.173","12322","82.64.0.0/14","PROXAD, FR","FR"
"pacojetfrance.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"recharge-authentique.fr","46.30.215.101","51468","46.30.208.0/21","ONECOM, DK","DK"
"service-renouvellement-ameli.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"sg-support.fr","80.69.67.3","34762","80.69.66.0/23","COMBELL-AS, BE","NL"
"skimsfrancefr.fr","","","","",""
"tickless-france.fr","198.50.252.65","16276","198.50.128.0/17","OVH, FR","CA"
"vejafrance-fr.fr","","","","",""
