"fqdn","ip","asn","ip_prefix","owner","cc"
"banques-france.fr","217.160.0.192","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"denimtearsstore.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS, FR","FR"
"fr-casinozer.fr","213.132.197.99","39704","213.132.192.0/19","CJ2-AS, NL","NL"
"fr-travail.fr","","","","",""
"loiregouv.fr","","","","",""
"outletbirkenstockparis.fr","23.227.38.71","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"refundprime.fr","","","","",""
