"fqdn","ip","asn","ip_prefix","owner","cc"
"ar24service.fr","109.234.167.177","50474","109.234.164.0/22","O2SWITCH, FR","FR"
"aruba-bet-casino.fr","","","","",""
"aruba-bet-en-ligne.fr","","","","",""
"betzino-avis-fr.fr","172.67.188.215","13335","172.67.176.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"betzino-site.fr","104.21.76.142","13335","104.21.64.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"betzino1-france.fr","104.21.72.92","13335","104.21.64.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"billybets-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"bwin-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"casinado-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"casino-prive-fr.fr","172.67.160.173","13335","172.67.160.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"casinoinfinity-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"casinotogether-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"casinozer-casinos-fr.fr","82.221.143.1","50613","82.221.143.0/24","THORDC-AS, IS","IS"
"casinozer-casinos-france.fr","82.221.143.1","50613","82.221.143.0/24","THORDC-AS, IS","IS"
"casinozer-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"castanerchaussures.fr","172.67.183.162","13335","172.67.176.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"cazinozer-casino-fr.fr","82.221.143.1","50613","82.221.143.0/24","THORDC-AS, IS","IS"
"certinterieurgouv.fr","","","","",""
"cresus-casinos-fr.fr","82.221.143.1","50613","82.221.143.0/24","THORDC-AS, IS","IS"
"cresuscasino-france.fr","82.221.143.1","50613","82.221.143.0/24","THORDC-AS, IS","IS"
"fila-france.fr","172.67.202.42","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"hypercasinofrance.fr","104.21.23.140","13335","104.21.16.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"limewin-fr.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"maillotdz.fr","75.2.60.5","16509","75.2.60.0/24","AMAZON-02 - Amazon.com, Inc., US","US"
"maillotfr.fr","75.2.60.5","16509","75.2.60.0/24","AMAZON-02 - Amazon.com, Inc., US","US"
"masterplay-fr.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"mondial-suivicolisrapides-express.fr","180.149.198.165","210403","180.149.198.0/24","LWS, FR","FR"
"mypaypal.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"oisegouv.fr","","","","",""
"onlyspin1.fr","","","","",""
"portail-authchorus.fr","","","","",""
"presivinterieurgouv.fr","","","","",""
"roibetsfrance.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"rubyslots-france.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"serveur-opposition.fr","180.178.160.215","213441","180.178.160.0/24","SLAYER-AS, GB","PK"
"spinny-france.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"superspinfrance.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"tikicasino-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"tikitakacasino-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"tiktok.yt","104.21.39.189","13335","104.21.32.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"titanlock-official.fr","217.160.0.89","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"trueluckcasino-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"twincasino-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"uniquecasino-official.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"universdesjouetsfr.fr","104.21.8.156","13335","104.21.0.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"wilsonsfrance.fr","104.160.4.195","41564","104.160.4.0/24","AS41564, GB","SC"
"woopwin-france.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
"zeuswin-fr.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER, CY","CY"
