"fqdn","ip","asn","ip_prefix","owner","cc"
"acces-suspendu.fr","185.100.4.220","34177","185.100.4.0/22","CELESTE-AS CELESTE - Internet services provider, FR","FR"
"aiglefrance.fr","104.21.69.6","13335","104.21.64.0/20","CLOUDFLARENET, US","US"
"allenedmondsfrance.fr","104.21.15.188","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"betwinnerfrance.fr","192.0.78.25","2635","192.0.78.0/24","AUTOMATTIC, US","US"
"dartiy.fr","23.227.38.70","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"lidl-international.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"llonelyplanet.fr","46.166.189.98","43350","46.166.188.0/23","NFORCE, NL","NL"
"outletavenue.fr","23.227.38.32","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"sccfrance.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"secure-pay.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"ticket-one.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"ticketnova.fr","23.227.38.69","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"universite-paris13.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
