"fqdn","ip","asn","ip_prefix","owner","cc"
"interflorafr.fr","88.223.85.43","47583","88.223.80.0/21","AS-HOSTINGER, CY","LT"
"localiser-connexion.fr","31.220.90.186","51167","31.220.88.0/21","CONTABO, DE","DE"
"netflixblackfriday.fr","217.160.0.189","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"telepeage-route.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"the-car-glass.fr","","","","",""
"thecarglass.fr","","","","",""
