"fqdn","ip","asn","ip_prefix","owner","cc"
"acces-suivi.fr","213.226.123.102","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"certificat-denongage.fr","80.249.132.59","211668","80.249.132.0/24","SITE, NL","NL"
"chrono-support.fr","45.148.116.34","203790","45.148.116.0/24","UP-NETWORK, FR","CH"
"chronopost-suivi-client.fr","178.33.70.58","16276","178.32.0.0/15","OVH, FR","FR"
"chronopostransport.fr","54.36.99.101","16276","54.36.0.0/16","OVH, FR","FR"
"chronopostsuivicolis.fr","62.210.53.77","12876","62.210.0.0/16","Online SAS, FR","FR"
"chronopostsuivisms.fr","","","","",""
"chronopostweb.fr","213.226.123.224","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"client-informa.fr","46.23.109.60","211895","46.23.109.0/24","SERVERIUS-USERS-AS, NL","AZ"
"e-chronopost-colis.fr","213.226.123.102","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"facturation-client.fr","160.20.147.139","30823","160.20.147.0/24","COMBAHTON combahton GmbH, DE","DE"
"franceameli.fr","185.28.39.60","213035","185.28.39.0/24","AS-SERVERION Serverion B.V., NL","NL"
"mon-colis-suivi-chronopost.fr","","","","",""
"nordparisien.fr","","","","",""
"paymentnetfix.fr","62.4.21.136","12876","62.4.0.0/19","Online SAS, FR","FR"
"societe-generale-mobile.fr","","","","",""
"suivi-colischrono.fr","79.137.32.168","16276","79.137.0.0/17","OVH, FR","FR"
"webinsta.fr","109.234.162.218","50474","109.234.162.0/24","O2SWITCH, FR","FR"
"xn--formulaire-sant-pnb.fr","89.23.103.21","207713","89.23.103.0/24","GIR-AS, RU","RU"
"xn--socit-general-ehbb.fr","","","","",""
