"fqdn","ip","asn","ip_prefix","owner","cc"
"applemaintenance.fr","192.0.78.24","2635","192.0.78.0/24","AUTOMATTIC, US","US"
"assure-demande-renouvellement.fr","91.208.197.164","200019","91.208.197.0/24","ALEXHOST, MD","MD"
"bnp-service-client.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"chronopst-tracking.fr","217.160.0.46","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"columbiasparis.fr","172.67.138.151","13335","172.67.128.0/20","CLOUDFLARENET, US","US"
"cpamiseajourameli.fr","198.185.159.145","53831","198.185.159.0/24","SQUARESPACE, US","US"
"dc-shoes-france.fr","196.196.13.176","63119","196.196.13.0/24","AS-63119, SC","SC"
"dgfip-finances.fr","198.49.23.145","53831","198.49.23.0/24","SQUARESPACE, US","US"
"dior-outlets.fr","194.1.147.91","210250","194.1.147.0/24","WPX, BG","BG"
"engie-regularisation.fr","","","","",""
"francesinfos.fr","46.166.189.98","43350","46.166.188.0/23","NFORCE, NL","NL"
"laposte-relivraisons.fr","93.185.167.104","200019","93.185.167.0/24","ALEXHOST, MD","RU"
"micromanias.fr","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"mon-espace-renouvellement-assure.fr","91.208.197.164","200019","91.208.197.0/24","ALEXHOST, MD","MD"
"moncomptebnpppf-documents-immobilier.fr","162.0.235.28","22612","162.0.235.0/24","NAMECHEAP-NET, US","US"
"siedgfip.fr","217.160.0.216","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"supportvitaleameli.fr","198.185.159.145","53831","198.185.159.0/24","SQUARESPACE, US","US"
