"fqdn","ip","asn","ip_prefix","owner","cc"
"2022-ma-carte-assurance.fr","","","","",""
"activation-societegenerale.fr","","","","",""
"ameli-confidentialite.fr","","","","",""
"ameli-cpam-renouv.fr","","","","",""
"ameli-infos-services.fr","","","","",""
"ameli-securisation-compte.fr","","","","",""
"amelis-secure.fr","","","","",""
"amelisecuinfo.fr","","","","",""
"assure-formulaire.fr","193.233.203.223","200019","193.233.202.0/23","ALEXHOST, MD","RU"
"caisse-epargneverif.fr","","","","",""
"carte-renouvellements.fr","95.214.24.86","211252","95.214.24.0/24","AS_DELIS, US","BG"
"cartevitale-renouv.fr","","","","",""
"certicode-info.fr","","","","",""
"certicode.fr","","","","",""
"certlcode-lbp.fr","45.131.187.253","58057","45.131.187.0/24","SECUREBIT Securebit Autonomous System, CH","CH"
"chronopostsav.fr","45.131.187.4","58057","45.131.187.0/24","SECUREBIT Securebit Autonomous System, CH","CH"
"formulaire-assure.fr","15.197.130.221","16509","15.197.128.0/20","AMAZON-02, US","US"
"gouv-secure-impot.fr","","","","",""
"infossantevitale.fr","","","","",""
"infossecuvitale.fr","45.131.187.253","58057","45.131.187.0/24","SECUREBIT Securebit Autonomous System, CH","CH"
"internarche.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"messagerie-sg.fr","","","","",""
"modificationamazon.fr","","","","",""
"netflix-account-secure.fr","45.131.187.253","58057","45.131.187.0/24","SECUREBIT Securebit Autonomous System, CH","CH"
"oragne.fr","192.64.147.150","19867","192.64.147.0/24","VOODOO1, US","US"
"orangre.fr","192.64.147.150","19867","192.64.147.0/24","VOODOO1, US","US"
"redirection-carte.fr","18.197.114.146","16509","18.196.0.0/15","AMAZON-02, US","US"
"sante-amelie.fr","79.133.41.250","44066","79.133.32.0/19","DE-FIRSTCOLO www.first-colo.net, DE","DE"
"santefrance-info.fr","93.115.97.35","197922","93.115.96.0/23","FIRSTHEBERG, FR","FR"
"securite-cartevitale-portail.fr","","","","",""
"service-pass-securite-societegenerale.fr","","","","",""
"sg-acces.fr","","","","",""
"sg-espace-particuliers.fr","195.110.124.154","39729","195.110.124.0/22","REGISTER-AS, IT","IT"
"sgverif.fr","","","","",""
"societegeneraleclient.fr","","","","",""
"suspensionsabonnementlogin.fr","","","","",""
"thelem-assurences.fr","51.77.215.91","16276","51.77.0.0/16","OVH, FR","FR"
"vital-cpam.fr","","","","",""
"vitale-cpamgouv.fr","","","","",""
"webecoute-vocale-sfr.fr","","","","",""
