"fqdn","ip","asn","ip_prefix","owner","cc"
"actualisation-sante.france.fr","","","","",""
"adidassold.france.fr","","","","",""
"airjordanretro.fr","104.21.9.27","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"amendes-gouvernements.fr","","","","",""
"chronopostsuivit.fr","","","","",""
"coli-track.fr","45.86.86.206","200019","45.86.86.0/24","ALEXHOST, MD","RU"
"cybertekbrest.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"fila.france.fr","","","","",""
"gestions-dossier.fr","213.226.123.172","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"gouvamendes.fr","","","","",""
"lbc-monrib.fr","198.54.116.107","22612","198.54.116.0/24","NAMECHEAP-NET, US","US"
"lonsdal.france.fr","","","","",""
"loveoutlet.fr","217.26.61.235","29097","217.26.48.0/20","HOSTPOINT-AS, CH","CH"
"oh-poll.france.fr","","","","",""
"oh-polly.fr","","","","",""
"paiement-contravention.fr","213.226.123.203","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"payer-son-amende.fr","217.70.184.38","29169","217.70.184.0/24","GANDI-AS Domain name registrar - www.gandi.net, FR","FR"
"reglementamende.fr","62.182.81.195","30860","62.182.80.0/23","YURTEH-AS, UA","UA"
"regler-amende.fr","199.59.243.225","16509","199.59.243.0/24","AMAZON-02, US","US"
"regler-contravention.fr","","","","",""
"serviceamendedggif.fr","62.182.81.195","30860","62.182.80.0/23","YURTEH-AS, UA","UA"
"sg-particuliers.fr","51.120.11.29","8075","51.120.0.0/16","MICROSOFT-CORP-MSN-AS-BLOCK, US","GB"
"sms-chrono-post.fr","","","","",""
"vitale-renouvellement.fr","213.226.123.41","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"vivaiaschaussures.fr","196.196.38.223","58065","196.196.38.0/24","PACKETEXCHANGE, GB","SC"
