"fqdn","ip","asn","ip_prefix","owner","cc"
"aide-espace-navigo.fr","","","","",""
"amendes-gov.fr","45.33.30.197","63949","45.33.0.0/19","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"chronopost-programmation.fr","94.131.8.230","44477","94.131.8.0/24","STARK-INDUSTRIES, GB","GI"
"chronopost-suivis-livraison.fr","213.226.123.172","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","AE"
"credit-agricole-idf.fr","217.160.0.48","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"frais-chronopost-colis.fr","","","","",""
"info-sante-france.fr","96.126.123.244","63949","96.126.112.0/20","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US"
"jellycatfrance.fr","165.231.141.182","58065","165.231.141.0/24","PACKETEXCHANGE, GB","SC"
"norvpn.fr","162.255.119.173","22612","162.255.119.0/24","NAMECHEAP-NET, US","US"
"poluniv-guyane.fr","138.201.79.102","24940","138.201.0.0/16","HETZNER-AS, DE","DE"
"u-nimes.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"uggofficiel.fr","23.227.38.67","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"uggoriginal.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"ups-services.fr","185.253.54.146","198831","185.253.54.0/24","HOLYCLOUD HOLYCLOUD, FR","FR"
"upsdouane-colis.fr","163.5.32.22","399486","163.5.32.0/24","VIRTUO, CA","FR"
