"fqdn","ip","asn","ip_prefix","owner","cc"
"amazon-login-php.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"ameli-carte-livraison.fr","","","","",""
"ameli-renouvelement.fr","","","","",""
"amendes-login.fr","89.23.103.7","207713","89.23.103.0/24","GIR-AS, RU","RU"
"assistances-compte.fr","193.47.61.169","211252","193.47.61.0/24","AS_DELIS, US","BG"
"assistances-comptes.fr","193.47.61.169","211252","193.47.61.0/24","AS_DELIS, US","BG"
"camillechaussuresamiens.fr","188.114.97.2","13335","188.114.97.0/24","CLOUDFLARENET, US","US"
"certificat-mavignette.fr","45.148.119.222","203790","45.148.119.0/24","UP-NETWORK, FR","CH"
"chronopost-aide-colis.fr","","","","",""
"chronopost-logistique.fr","62.210.119.155","12876","62.210.0.0/16","Online SAS, FR","FR"
"chronopost-secur.fr","194.50.111.13","203790","194.50.111.0/24","UP-NETWORK, FR","CH"
"comptefacturation.fr","31.220.57.18","47583","31.220.48.0/20","AS-HOSTINGER, CY","CY"
"diamond-store.fr","23.227.38.68","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"espace-souscriptions.fr","","","","",""
"help-account-netflix.fr","213.226.123.44","49943","213.226.123.0/24","ITRESHENIYA-AS, RU","RU"
"informationamelifr.fr","137.74.233.166","16276","137.74.0.0/16","OVH, FR","FR"
"informations-ameli.fr","185.81.157.57","198375","185.81.156.0/22","INU-AS, FR","FR"
"informations-security.fr","","","","",""
"mon-dossier-en-cours-de-traitement.fr","179.43.182.180","51852","179.43.128.0/18","PLI-AS, PA","PA"
"netflix-resiliation.fr","62.210.53.85","12876","62.210.0.0/16","Online SAS, FR","FR"
"paris-cybertek.fr","51.83.37.23","16276","51.83.0.0/16","OVH, FR","FR"
"reactivation-souscription.fr","","","","",""
"reactiver-compte.fr","194.50.111.13","203790","194.50.111.0/24","UP-NETWORK, FR","CH"
"renouv-cartevi-ameli.fr","188.114.96.2","13335","188.114.96.0/24","CLOUDFLARENET, US","US"
"renouvellement-abonnements.fr","62.4.21.186","12876","62.4.0.0/19","Online SAS, FR","FR"
"santemacartevitale.fr","","","","",""
"secure-fraude.fr","","","","",""
"sg83bp-societegenerale.fr","","","","",""
"sodexo-pass-france-sa.fr","213.123.60.239","2856","213.120.0.0/14","BT-UK-AS BTnet UK Regional network, GB","GB"
"suivi-chronopost.fr","185.247.117.15","60781","185.247.117.0/24","LEASEWEB-NL-AMS-01 Netherlands, NL","GI"
"support-livraisons.fr","240.0.0.1","NA","NA","NA",""
"uni-avignon.fr","","","","",""
