"fqdn","ip","asn","ip_prefix","owner","cc"
"actionsolde.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"actionsoldes.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"actualisation-service-orange.fr","217.160.0.138","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"annulation-agricole.fr","104.21.4.45","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"inpi-contact.fr","176.123.0.55","200019","176.123.0.0/21","ALEXHOST, MD","MD"
"irobotfrance.fr","","","","",""
"satisfaction-maaf.fr","137.74.94.95","16276","137.74.0.0/16","OVH, FR","FR"
"tnsneaker.fr","5.135.83.70","16276","5.135.0.0/16","OVH, FR","FR"
"universdumaillot.fr","23.227.38.73","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"winbet.pm","199.59.243.228","16509","199.59.243.0/24","AMAZON-02, US","US"
