"fqdn","ip","asn","ip_prefix","owner","cc"
"ce-te-leem.fr","194.126.193.54","210403","194.126.193.0/24","LWS, FR","FR"
"coiis-suivis-reiivraison.fr","198.91.81.15","32475","198.91.81.0/24","SINGLEHOP-LLC, US","US"
"comptes-consultation.fr","","","","",""
"confirmationrdv-leboncoin-luciano.fr","","","","",""
"doctolib-support.fr","45.152.162.238","200019","45.152.162.0/24","ALEXHOST, MD","DE"
"espace-consultation.fr","","","","",""
"help-ledger.fr","199.59.243.228","16509","199.59.243.0/24","AMAZON-02, US","US"
"info-dgfip.fr","172.67.204.95","13335","172.67.192.0/20","CLOUDFLARENET, US","US"
"lecreusets-france.fr","172.67.157.17","13335","172.67.144.0/20","CLOUDFLARENET, US","US"
"lidlservices.fr","194.126.193.50","210403","194.126.193.0/24","LWS, FR","FR"
"lyfpaiement.fr","","","","",""
"nikeshop.fr","92.112.198.44","47583","92.112.196.0/22","AS-HOSTINGER, CY","UA"
"nikeshops.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"onshoesfrance.fr","","","","",""
"retail-auchan.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"skechersfrance.fr","172.67.216.204","13335","172.67.208.0/20","CLOUDFLARENET, US","US"
"ticket-ledger.fr","199.59.243.228","16509","199.59.243.0/24","AMAZON-02, US","US"
"ticketledeger.fr","185.158.133.1","13335","185.158.133.0/24","CLOUDFLARENET, US","AE"
