"fqdn","ip","asn","ip_prefix","owner","cc"
"annulationprime.fr","185.196.8.233","42624","185.196.8.0/24","SWISSNETWORK02, SC","SC"
"birkenstok.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"caf-seinesaintdenis.fr","","","","",""
"cancelprimev.fr","45.61.138.38","399629","45.61.138.0/24","BLNWX, US","US"
"cancelprimevid.fr","45.61.138.38","399629","45.61.138.0/24","BLNWX, US","US"
"cinierifinances.fr","76.223.105.230","16509","76.223.96.0/20","AMAZON-02, US","US"
"contest-amende.fr","185.230.63.186","58182","185.230.63.0/24","WIX_COM, IL","IL"
"gouv-amendes.fr","213.165.87.61","8560","213.165.86.0/23","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"identitefrancaise.fr","164.132.235.17","16276","164.132.0.0/16","OVH, FR","FR"
"mes-services-sante.fr","","","","",""
"mon-suivi-en-ligne.fr","","","","",""
"monrenouvellement-vitale.fr","","","","",""
"orangee.fr","0.0.0.0","NA","NA","NA",""
"pole-ameli.fr","20.117.224.127","8075","20.64.0.0/10","MICROSOFT-CORP-MSN-AS-BLOCK, US","US"
"posteofrance.fr","23.227.38.72","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"primeannulation.fr","185.196.8.233","42624","185.196.8.0/24","SWISSNETWORK02, SC","SC"
"primegroup.fr","0.0.0.0","NA","NA","NA",""
"primevcancel.fr","45.61.138.38","399629","45.61.138.0/24","BLNWX, US","US"
"primevidcancel.fr","45.61.138.38","399629","45.61.138.0/24","BLNWX, US","US"
"ubereatfree.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
