"fqdn","ip","asn","ip_prefix","owner","cc"
"1winfr-app.fr","104.21.64.1","13335","104.21.64.0/20","CLOUDFLARENET, US","US"
"alexandercasino-bonus.fr","85.209.195.161","44477","85.209.195.0/24","THE-HOSTING, MD","CY"
"attestez-vos-recharges.fr","35.204.150.5","396982","35.204.144.0/20","GOOGLE-CLOUD-PLATFORM, US","US"
"birkenstockoff.fr","23.227.38.32","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"comptes-patient.fr","","","","",""
"comptes-rdv-santes.fr","","","","",""
"discord-verification.fr","81.88.57.68","39729","81.88.48.0/20","REGISTER-AS, IT","IT"
"espace-bordereaudutransction.fr","217.160.0.148","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"euuktour-billetterie.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"hummelfr.fr","172.67.174.199","13335","172.67.160.0/20","CLOUDFLARENET, US","US"
"magicalspin24.fr","104.21.64.1","13335","104.21.64.0/20","CLOUDFLARENET, US","US"
"poleneparisoutlet.fr","23.227.38.66","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"thekooplesfr.fr","172.67.180.10","13335","172.67.176.0/20","CLOUDFLARENET, US","US"
