"fqdn","ip","asn","ip_prefix","owner","cc"
"camper-fr.fr","104.21.34.60","13335","104.21.32.0/20","CLOUDFLARENET, US","US"
"carhartt-france.fr","172.67.167.82","13335","172.67.160.0/20","CLOUDFLARENET, US","US"
"festicket.fr","23.227.38.66","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"goldspin-online.fr","91.226.30.3","8342","91.226.30.0/24","RTCOMM-AS, RU","RU"
"info-greffe-kbis.fr","104.21.5.15","13335","104.21.0.0/20","CLOUDFLARENET, US","US"
"iphone-store.fr","","","","",""
"metaformafr.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
"nike-airmax.fr","","","","",""
"oraangee.fr","213.255.195.48","210403","213.255.195.0/24","LWS, FR","FR"
"outletlab.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
