"fqdn","ip","asn","ip_prefix","owner","cc"
"adidas-group.fr","66.33.214.49","22611","66.33.208.0/21","INMOTION, US","US"
"appstore-service.fr","104.21.20.67","13335","104.21.16.0/20","CLOUDFLARENET, US","US"
"assistance-service.fr","172.67.202.72","13335","172.67.192.0/20","CLOUDFLARENET, US","US"
"contact-bcpbank.fr","198.49.23.145","53831","198.49.23.0/24","SQUARESPACE, US","US"
"contact-bcpbk.fr","198.185.159.144","53831","198.185.159.0/24","SQUARESPACE, US","US"
"fortuneo-ecologie.fr","","","","",""
"gouvernetment.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"localisermaps.fr","104.21.60.19","13335","104.21.48.0/20","CLOUDFLARENET, US","US"
"localisersupport.fr","104.21.69.221","13335","104.21.64.0/20","CLOUDFLARENET, US","US"
"midasluck-casino.fr","","","","",""
"midasluckcasino.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"monsterwin-casino.fr","","","","",""
"monsterwin1.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"paypal-byrecovery.fr","192.3.176.117","36352","192.3.176.0/21","AS-COLOCROSSING, US","US"
"powerupcasino.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"powerupcasinos.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"powerups.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"quizphotocnil.fr","","","","",""
"renouvelle-votrecolis.fr","217.160.0.16","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"renouvellement-colistrack.fr","217.160.0.217","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"service-public-litige.fr","198.49.23.144","53831","198.49.23.0/24","SQUARESPACE, US","US"
"stonevegacasino.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
"stonevegascasinos.fr","","","","",""
"vicibet-casino.fr","75.2.115.196","16509","75.2.112.0/20","AMAZON-02, US","US"
