"fqdn","ip","asn","ip_prefix","owner","cc"
"aide-ameli.fr","91.215.85.5","200593","91.215.85.0/24","PROSPERO-AS, RU","RU"
"antai-assistance.fr","","","","",""
"auromobile.fr","104.247.82.54","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"automobike.fr","104.247.81.50","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"automoblie.fr","104.247.82.54","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"cfspart-impots.fr","194.26.192.42","210558","194.26.192.0/24","SERVICES-1337-GMBH 1337-SERVICES-GMBH-NETWORK, DE","DE"
"demandedelogement50.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"demandedelogement69.fr","104.247.81.50","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"demandedelogement88.fr","104.247.81.50","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"ihpgroup.fr","104.247.82.53","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"info-assurancemaladie-renouvellement.fr","","","","",""
"infosuivis-dhl.fr","94.237.46.6","202053","94.237.40.0/21","UPCLOUD, FI","FI"
"lesservices-magazines.fr","104.247.81.52","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
"linkdln.fr","146.59.251.223","16276","146.59.0.0/16","OVH, FR","FR"
"livraisons-chronopost-suivi.fr","","","","",""
"multipasscadeaux.fr","104.247.82.50","206834","104.247.82.0/23","TEAMINTERNET-CA-AS, DE","CA"
"ralphlaurenfrance.fr","196.244.194.220","58065","196.244.194.0/24","PACKETEXCHANGE, GB","SC"
"recouveinfo.fr","","","","",""
"recupvirpaylib.fr","185.230.63.107","58182","185.230.63.0/24","WIX_COM, IL","IL"
"sageapp.fr","146.59.251.223","16276","146.59.0.0/16","OVH, FR","FR"
"servicepublic-renouvellement.fr","","","","",""
"web-livraison-suivi.fr","85.215.152.223","6724","85.214.0.0/15","STRATO STRATO AG, DE","DE"
"xn--ditions-foucher-9mb.fr","104.247.81.54","206834","104.247.80.0/23","TEAMINTERNET-CA-AS, DE","CA"
