"fqdn","ip","asn","ip_prefix","owner","cc"
"banquetangerine.fr","217.160.0.104","8560","217.160.0.0/16","IONOS-AS - IONOS SE, DE","DE"
"bouttiqueoffresetpromotionsfr.fr","172.67.136.92","13335","172.67.128.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"burgerking-roue.fr","216.24.57.1","397273","216.24.57.0/24","RENDER - Render, US","US"
"caf33.fr","185.98.131.226","210403","185.98.131.0/24","LWS - Groupe LWS SARL, FR","FR"
"cas-service-cle.fr","91.134.234.186","16276","91.134.0.0/16","OVH - OVH SAS, FR","FR"
"casino-crazyking.fr","3.33.130.190","16509","3.33.128.0/20","AMAZON-02 - Amazon.com, Inc., US","US"
"casino-vival-spar.fr","","","","",""
"casinovivalspar.fr","","","","",""
"confirmation-de-vos-rendez-vous-remise-secu-leboncoin.fr","145.79.20.134","47583","145.79.20.0/24","AS-HOSTINGER - Hostinger International Limited, CY","DE"
"dgfpubliques.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER - Hostinger International Limited, CY","CY"
"exoedia.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM - Google LLC, US","US"
"expadia.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM - Google LLC, US","US"
"expedoa.fr","34.111.46.214","396982","34.108.0.0/14","GOOGLE-CLOUD-PLATFORM - Google LLC, US","US"
"fr-instant-casino.fr","213.255.195.48","210403","213.255.195.0/24","LWS - Groupe LWS SARL, FR","FR"
"fr-sportaza.fr","213.255.195.48","210403","213.255.195.0/24","LWS - Groupe LWS SARL, FR","FR"
"france-sportaza.fr","213.255.195.48","210403","213.255.195.0/24","LWS - Groupe LWS SARL, FR","FR"
"goldenmina-fr.fr","","","","",""
"goldenmina1.fr","","","","",""
"gransino-play.fr","172.67.137.26","13335","172.67.128.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"instant-casino-fr.fr","213.255.195.48","210403","213.255.195.0/24","LWS - Groupe LWS SARL, FR","FR"
"intercasinoeuro.fr","195.201.69.223","24940","195.201.0.0/16","HETZNER-AS - Hetzner Online GmbH, DE","DE"
"intimissimifr.fr","104.21.62.137","13335","104.21.48.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"jerseymaxstore.fr","104.21.66.60","13335","104.21.64.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"kaasinofrance.fr","185.53.179.200","206834","185.53.179.0/24","TEAMINTERNET-CA-AS - Team Internet AG, DE","DE"
"lanouvelle-republique.fr","83.229.19.76","210403","83.229.19.0/24","LWS - Groupe LWS SARL, FR","FR"
"nimes-aeroport.fr","51.91.25.239","16276","51.91.0.0/16","OVH - OVH SAS, FR","FR"
"ninecas1no.fr","","","","",""
"ninecasinos-fr.fr","213.132.197.99","39704","213.132.192.0/19","CJ2-AS - CJ2 Hosting B.V., NL","NL"
"outlet-jonak.fr","23.227.38.65","13335","23.227.38.0/23","CLOUDFLARENET - Cloudflare, Inc., US","CA"
"point-s-champagnole.fr","104.21.74.14","13335","104.21.64.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"princealionline.fr","172.67.192.56","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"retraitrapide.fr","172.67.140.189","13335","172.67.128.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"todsfr.fr","172.67.144.220","13335","172.67.144.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"winamaxfrance.fr","172.67.167.108","13335","172.67.160.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
