"fqdn","ip","asn","ip_prefix","owner","cc"
"banque-france-jep2025.fr","104.21.93.103","13335","104.21.80.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"bassbet-fr.fr","","","","",""
"betclic-casinos.fr","172.67.209.30","13335","172.67.208.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"betclic-fr.fr","172.67.142.124","13335","172.67.128.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"betify9.fr","104.21.81.44","13335","104.21.80.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"betify9sh.fr","185.53.177.20","61969","185.53.176.0/22","TEAMINTERNET-AS - Team Internet AG, DE","DE"
"betsat.fr","104.21.18.105","13335","104.21.16.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"birdspin.fr","172.67.197.236","13335","172.67.192.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"blitz-casino-fr.fr","","","","",""
"captainslots-fr.fr","","","","",""
"casino-blitz.fr","","","","",""
"casino-mafia1.fr","","","","",""
"casinoly-com.fr","","","","",""
"casinoly-france.fr","","","","",""
"casinoroobetenligne.fr","31.131.20.209","56851","31.131.20.0/24","VPS-UA-AS - PE Skurykhin Mukola Volodumurovuch, UA","UA"
"casinotowerrush.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"circus-casino1.fr","","","","",""
"crownplay-casinos.fr","","","","",""
"desigualfrance.fr","172.67.143.45","13335","172.67.128.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"dgfip-cerfa-impots.fr","2.57.91.91","47583","2.57.91.0/24","AS-HOSTINGER - Hostinger International Limited, CY","CY"
"divaspin-com.fr","","","","",""
"drmartens-france.fr","","","","",""
"hugo-bets-casino.fr","","","","",""
"jouer-legianocasino.fr","104.21.56.79","13335","104.21.48.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"jouertowerrush.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"joueztowerrush.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"lbcoin.fr","217.160.0.30","8560","217.160.0.0/16","IONOS-AS - IONOS SE, DE","DE"
"mafia-casino1.fr","","","","",""
"malina-casino1.fr","","","","",""
"mcdo-roue.fr","216.24.57.1","397273","216.24.57.0/24","RENDER - Render, US","US"
"megawin-casinos.fr","","","","",""
"pandafrance.fr","185.230.63.107","58182","185.230.63.0/24","wix_com - Wix.com Ltd., IL","IL"
"parabootfr.fr","104.21.13.15","13335","104.21.0.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"rizz-casino-fr.fr","","","","",""
"spin-coach.fr","198.49.23.144","53831","198.49.23.0/24","SQUARESPACE - Squarespace, Inc., US","US"
"spinaltofr.fr","104.21.36.70","13335","104.21.32.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"spinbossfr.fr","104.21.6.41","13335","104.21.0.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"spinmama-com.fr","","","","",""
"spinmillion-france.fr","","","","",""
"suivie-colis.fr","188.165.53.185","16276","188.165.0.0/16","OVH - OVH SAS, FR","FR"
"tower-rushgratuit.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"tower-rushjeu.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"tower-rushjeux.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"tower-rushmachine.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"tower-rushofficiel.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"towerrushargent.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"towerrushjeux.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"towerrushmachine.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"towerrushofficiel.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"towerrushoriginal.fr","185.26.106.234","24935","185.26.106.0/23","ATE-AS - Eurofiber France SAS, FR","FR"
"vegashero-com.fr","","","","",""
"vegasplus-com.fr","","","","",""
"wanabet-casino.fr","","","","",""
"wanabetcasinos.fr","172.67.148.186","13335","172.67.144.0/20","CLOUDFLARENET - Cloudflare, Inc., US","US"
"win-unique-fr.fr","","","","",""
