"fqdn","ip","asn","ip_prefix","owner","cc"
"agence-nationale-amende.fr","","","","",""
"ahpa.fr","23.227.38.36","13335","23.227.38.0/23","CLOUDFLARENET, US","CA"
"antai-infogouv.fr","","","","",""
"ants-fr.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"axa-app.fr","","","","",""
"bouygues-esim.fr","193.233.49.11","207713","193.233.49.0/24","GIR-AS, RU","RU"
"chronopost-service-douanier.fr","","","","",""
"ciscooutlet.fr","37.9.175.179","51013","37.9.175.0/24","WEBSUPPORT-SRO-SK-AS, SK","SK"
"hxezp-sg.fr","149.100.142.182","47583","149.100.140.0/22","AS-HOSTINGER, CY","US"
"lbc-afficher-rib.fr","82.165.48.189","8560","82.165.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"lbcsecuriser.fr","217.160.0.173","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"liujooutletfrance.fr","196.196.38.251","58065","196.196.38.0/24","PACKETEXCHANGE, GB","SC"
"maprime-adapte.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"maprimeadaptgouv.fr","213.186.33.5","16276","213.186.32.0/19","OVH, FR","FR"
"mesamendes-gouv-antai.fr","","","","",""
"monespace-info.fr","","","","",""
"navigoconnect.fr","87.121.221.114","211252","87.121.221.0/24","AS_DELIS, US","BG"
"paiement-antai.fr","62.210.168.188","12876","62.210.0.0/16","Online SAS, FR","FR"
"portail-public-de-facturation.fr","217.160.0.49","8560","217.160.0.0/16","IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE","DE"
"prime-abonnements.fr","92.51.39.179","9123","92.51.39.0/24","TIMEWEB-AS, RU","RU"
"pve-stationnement.fr","185.98.131.229","210403","185.98.131.0/24","LWS, FR","FR"
"sas-carrefour.fr","84.32.84.32","47583","84.32.84.0/24","AS-HOSTINGER, CY","LT"
